Kurs USD;Suku Bunga Bank;Index FTSE;Index NIKKEI;IHSG
11000;20;5138;16424;342
8800;22;5629;14995;535
8550;25;5782;17040;512
8150;45;6105;17132;527
11150;58;5969;16481;434
14700;58;6947;15149;409
13100;69;5929;15323;463
10863;71;5680;19090;423
10665;69;5118;15829;324
7650;58;4823;13917;304
7350;52;5491;12880;353
7950;39;5541;14122;405
8825;37;6147;14405;439
8788;38;5855;13390;405
8675;38;6205;13889;388
8023;36;6472;14894;421
8050;29;6356;16855;575
6665;23;6484;16946;668
6830;17;6562;17198;656
7710;15;6121;17937;607
8305;13;6191;17084;562
6810;13;6199;17711;588
7320;13;6356;18067;626
7011;12;6739;18354;633
7390;11;6288;18271;689
7395;11;6099;19457;612
7585;12;6540;19764;572
7885;11;6327;20334;545
8558;12;6359;17973;502
8743;12;6312;16332;479
8888;14;6365;17441;502
8310;14;6672;15727;486
8760;14;6256;16861;442
9310;15;6438;15747;418
9518;14;6142;14732;421
9660;14;6297;14648;425
