,country,year,pop,continent,lifeExp,gdpPercap
708,Indonesia,1952,82052000.0,Asia,37.468,749.6816546
709,Indonesia,1957,90124000.0,Asia,39.918,858.9002707000001
710,Indonesia,1962,99028000.0,Asia,42.518,849.2897700999999
711,Indonesia,1967,109343000.0,Asia,45.964,762.4317721
712,Indonesia,1972,121282000.0,Asia,49.203,1111.107907
713,Indonesia,1977,136725000.0,Asia,52.702,1382.702056
714,Indonesia,1982,153343000.0,Asia,56.159,1516.872988
715,Indonesia,1987,169276000.0,Asia,60.137,1748.356961
716,Indonesia,1992,184816000.0,Asia,62.681000000000004,2383.140898
717,Indonesia,1997,199278000.0,Asia,66.041,3119.335603
718,Indonesia,2002,211060000.0,Asia,68.58800000000001,2873.91287
719,Indonesia,2007,223547000.0,Asia,70.65,3540.6515640000002
