,title,year,imdb_score,rotten_score,decade
1,Rick and Morty,2013,9.2,94.0,2010-2019
8,Chernobyl,2019,9.4,96.0,2010-2019
11,Joker,2019,8.5,68.0,2010-2019
20,Ford v Ferrari,2019,8.1,92.0,2010-2019
32,Westworld,2016,8.7,83.0,2010-2019
36,Wonder Woman,2017,7.4,93.0,2010-2019
43,La La Land,2016,8.0,91.0,2010-2019
44,True Detective,2014,9.0,78.0,2010-2019
46,Prisoners,2013,8.1,81.0,2010-2019
48,Rush,2013,8.1,88.0,2010-2019
60,BlacKkKlansman,2018,7.5,96.0,2010-2019
62,The Lego Movie,2014,7.7,96.0,2010-2019
64,John Wick: Chapter 3 - Parabellum,2019,7.5,90.0,2010-2019
73,The Hobbit: The Desolation of Smaug,2013,7.8,74.0,2010-2019
74,A Star Is Born,2018,7.7,90.0,2010-2019
91,Bohemian Rhapsody,2018,8.0,60.0,2010-2019
92,Last Week Tonight with John Oliver,2014,8.9,98.0,2010-2019
101,The Nice Guys,2016,7.4,92.0,2010-2019
103,Silicon Valley,2014,8.5,94.0,2010-2019
107,Shazam!,2019,7.1,90.0,2010-2019
112,Big Little Lies,2017,8.5,89.0,2010-2019
132,They Shall Not Grow Old,2018,8.3,99.0,2010-2019
145,The Night Of,2016,8.5,94.0,2010-2019
150,The Hate U Give,2018,7.4,97.0,2010-2019
155,Alita: Battle Angel,2019,7.3,61.0,2010-2019
161,Ready or Not,2019,6.8,88.0,2010-2019
163,The Lego Batman Movie,2017,7.3,90.0,2010-2019
169,The Leftovers,2014,8.3,91.0,2010-2019
173,Doctor Sleep,2019,7.4,77.0,2010-2019
175,The Hobbit: The Battle of the Five Armies,2014,7.4,59.0,2010-2019
179,Barry,2018,8.3,99.0,2010-2019
180,Crazy Rich Asians,2018,6.9,91.0,2010-2019
184,Watchmen,2019,8.1,95.0,2010-2019
188,The Conjuring 2,2016,7.3,81.0,2010-2019
191,Us,2019,6.9,93.0,2010-2019
196,Succession,2018,8.5,92.0,2010-2019
201,Euphoria,2019,8.3,82.0,2010-2019
202,Aquaman,2018,7.0,65.0,2010-2019
204,Nocturnal Animals,2016,7.5,74.0,2010-2019
210,The Tale of the Princess Kaguya,2013,8.0,100.0,2010-2019
223,The Normal Heart,2014,7.9,94.0,2010-2019
225,Fast & Furious Presents: Hobbs & Shaw,2019,6.4,67.0,2010-2019
226,Blindspotting,2018,7.4,94.0,2010-2019
240,Sharp Objects,2018,8.2,92.0,2010-2019
242,Downton Abbey,2019,7.4,84.0,2010-2019
251,The Outsider,2020,7.9,82.0,2020-2029
254,The Wind Rises,2013,7.8,88.0,2010-2019
264,Doom Patrol,2019,8.0,95.0,2010-2019
271,Ad Astra,2019,6.6,84.0,2010-2019
280,Bad Education,2019,7.1,94.0,2010-2019
281,Long Shot,2019,6.8,82.0,2010-2019
283,Yesterday,2019,6.8,63.0,2010-2019
290,Good Boys,2019,6.7,80.0,2010-2019
295,It Chapter Two,2019,6.6,63.0,2010-2019
304,His Dark Materials,2019,7.9,80.0,2010-2019
306,Pokémon Detective Pikachu,2019,6.6,68.0,2010-2019
309,The Jinx: The Life and Deaths of Robert Durst,2015,8.7,95.0,2010-2019
316,My Brilliant Friend,2018,8.6,96.0,2010-2019
334,Years and Years,2019,8.4,89.0,2010-2019
336,When Marnie Was There,2014,7.7,91.0,2010-2019
337,The Tale,2018,7.2,99.0,2010-2019
344,War Dogs,2016,7.1,61.0,2010-2019
350,American Animals,2018,7.0,89.0,2010-2019
351,Deadwood: The Movie,2019,7.4,98.0,2010-2019
370,Insecure,2016,7.9,96.0,2010-2019
379,Blinded by the Light,2019,6.9,89.0,2010-2019
386,Midnight Special,2016,6.6,83.0,2010-2019
388,Loving,2016,7.0,89.0,2010-2019
389,Inside No. 9,2014,8.5,100.0,2010-2019
394,Cobain: Montage of Heck,2015,7.5,97.0,2010-2019
399,Justice League,2017,6.4,40.0,2010-2019
409,The Lego Movie 2: The Second Part,2019,6.6,85.0,2010-2019
429,Robin Williams: Come Inside My Mind,2018,8.0,94.0,2010-2019
435,Primal,2019,8.7,100.0,2010-2019
436,The Deuce,2017,8.1,93.0,2010-2019
441,The Alienist,2018,7.7,66.0,2010-2019
448,I Know This Much Is True,2020,8.2,73.0,2020-2029
452,Mamma Mia! Here We Go Again,2018,6.7,79.0,2010-2019
453,Batman vs. Robin,2015,7.1,100.0,2010-2019
454,Spielberg,2017,7.7,92.0,2010-2019
459,Boy Erased,2018,6.9,81.0,2010-2019
460,Andre the Giant,2018,7.8,95.0,2010-2019
462,The Judge,2014,7.4,48.0,2010-2019
467,Mommy Dead and Dearest,2017,7.4,100.0,2010-2019
474,Lights Out,2016,6.3,76.0,2010-2019
478,Behind the Candelabra,2013,7.0,95.0,2010-2019
483,The Defiant Ones,2017,8.5,100.0,2010-2019
495,Ballers,2015,7.6,72.0,2010-2019
497,The Art of Racing in the Rain,2019,7.5,43.0,2010-2019
502,The Good Liar,2019,6.6,63.0,2010-2019
503,Veronica Mars,2014,6.8,79.0,2010-2019
512,All the Way,2016,7.3,88.0,2010-2019
525,Dragged Across Concrete,2019,7.0,76.0,2010-2019
526,Looking,2014,8.2,90.0,2010-2019
532,Godzilla: King of the Monsters,2019,6.0,42.0,2010-2019
540,Crimson Peak,2015,6.5,72.0,2010-2019
542,Gentleman Jack,2019,8.2,90.0,2010-2019
547,Looking: The Movie,2016,7.5,89.0,2010-2019
552,In a World...,2013,6.7,92.0,2010-2019
563,The Righteous Gemstones,2019,8.1,75.0,2010-2019
567,Vice Principals,2016,8.0,83.0,2010-2019
579,Storks,2016,6.8,66.0,2010-2019
587,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,36.0,2010-2019
609,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,2016,8.0,100.0,2010-2019
613,Smallfoot,2018,6.6,76.0,2010-2019
615,Bridget Jones's Baby,2016,6.5,78.0,2010-2019
620,Momentum Generation,2018,8.1,100.0,2010-2019
624,Search Party,2016,7.5,96.0,2010-2019
625,King in the Wilderness,2018,8.0,100.0,2010-2019
628,The Plot Against America,2020,7.3,86.0,2020-2029
630,Linda Ronstadt: The Sound of My Voice,2019,8.0,89.0,2010-2019
638,Teen Titans: The Judas Contract,2017,7.0,83.0,2010-2019
657,Shaft,2019,6.4,33.0,2010-2019
