Gender,UC Student Status,Birthday,Participant Category,University or School Name,Expertise Area,TPA Score,Portofolio Score,Interview Score,Total Score,Accepted
Male,Yes,2/14/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,68,67,58,65,Yes
Female,Yes,9/22/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,73,93,52,73,Yes
Male,No,6/19/2001,Active Student or Fresh Graduate,SMAN 1 Jember,Tech / IT / IS,71,73,76,73,Yes
Male,Yes,5/11/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,68,67,92,75,Yes
Male,Yes,4/22/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,66,67,64,66,Yes
Female,Yes,3/17/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,40,73,92,66,Yes
Male,No,2/9/1999,Active Student or Fresh Graduate,Institut Sains dan Teknologi Terpadu Surabaya,Tech / IT / IS,73,80,90,80,Yes
Female,Yes,4/4/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,77,73,94,81,Yes
Male,Yes,12/30/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,57,53,68,59,Yes
Male,No,10/13/1995,Active Student or Fresh Graduate,(ITS) Institut Teknologi Sepuluh Nopember,Tech / IT / IS,65,67,86,72,Yes
Male,Yes,9/14/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,36,20,78,44,Yes
Male,Yes,10/26/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,28,80,56,52,Yes
Male,No,11/12/1989,Professional Workers,(unesa) universitas negeri surabaya,Tech / IT / IS,47,80,82,67,Yes
Male,Yes,10/20/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,50,40,70,53,Yes
Female,Yes,3/25/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,39,83,60,59,Yes
Male,No,1/31/1998,Active Student or Fresh Graduate,(ITS) Institut Teknologi Sepuluh Nopember,Tech / IT / IS,67,80,90,78,Yes
Male,Yes,7/2/1993,Professional Workers,(UC) Universitas Ciputra Surabaya,Domain Expert,34,80,100,68,Yes
Male,No,7/6/1997,Professional Workers,(UDINUS) Universitas Dian Nuswantoro Semarang,Tech / IT / IS,73,73,86,77,Yes
Male,Yes,7/3/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,50,80,76,67,Yes
Female,Yes,1/26/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,70,53,62,63,Yes
Female,Yes,2/2/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,68,67,92,75,Yes
Female,Yes,3/27/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,49,77,80,67,Yes
Female,Yes,6/13/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,51,33,90,57,Yes
Male,Yes,5/11/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,57,80,80,71,Yes
Male,Yes,4/30/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,63,73,64,66,Yes
Male,Yes,7/28/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,73,73,82,76,Yes
Male,Yes,10/18/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,31,43,66,45,Yes
Female,Yes,8/29/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,69,80,62,70,Yes
Female,Yes,9/23/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,69,53,64,63,Yes
Male,No,6/18/1998,Active Student or Fresh Graduate,(ITS) Institut Teknologi Sepuluh Nopember Surabaya,Tech / IT / IS,58,87,82,74,Yes
Female,No,4/28/1998,Active Student or Fresh Graduate,(UNUD) Universitas Udayana,Tech / IT / IS,72,87,68,75,Yes
Female,Yes,8/28/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,52,60,66,59,Yes
Female,Yes,7/18/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,40,70,88,63,Yes
Male,Yes,5/19/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,44,40,96,58,Yes
Female,Yes,1/30/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,65,60,78,67,Yes
Male,Yes,6/13/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,62,73,84,72,Yes
Male,No,10/4/1998,Active Student or Fresh Graduate,(UNAIR) Universitas Airlangga,Tech / IT / IS,63,67,90,72,Yes
Male,Yes,6/15/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,44,53,74,56,Yes
Male,Yes,1/3/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,40,40,48,42,Yes
Male,No,12/25/2001,Active Student or Fresh Graduate,SMA VITA,Tech / IT / IS,85,53,70,71,Yes
Male,No,10/26/1998,Active Student or Fresh Graduate,(UKSW) Universitas Kristen Satya Wacana Salatiga,Tech / IT / IS,74,60,88,74,Yes
Male,Yes,6/2/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,71,60,32,56,Yes
Male,No,1/21/1995,Professional Workers,Universitas Udayana,Tech / IT / IS,54,73,80,68,Yes
Female,Yes,2/2/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,64,93,84,79,Yes
Male,Yes,1/31/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,49,53,54,52,Yes
Male,No,10/15/1994,Professional Workers,Universitas Trunojoyo Madura,Tech / IT / IS,49,80,88,70,Yes
Female,Yes,5/6/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,47,67,84,64,Yes
Male,Yes,5/13/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,62,93,68,73,Yes
Female,Yes,12/11/1990,Professional Workers,(UC) Universitas Ciputra Surabaya,Design,58,73,76,68,Yes
Female,Yes,12/17/1995,Professional Workers,(UC) Universitas Ciputra Surabaya,Domain Expert,61,40,64,56,Yes
Female,Yes,12/18/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,32,80,76,60,Yes
Male,Yes,1/3/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,48,60,72,59,Yes
Male,Yes,9/22/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,33,80,72,59,Yes
Male,Yes,1/6/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,45,60,76,59,Yes
Male,Yes,7/4/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,45,60,60,54,Yes
Male,Yes,10/6/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,58,80,82,72,Yes
Male,Yes,9/24/1984,Professional Workers,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,65,47,84,65,Yes
Male,Yes,9/15/1995,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,67,60,70,66,Yes
Female,Yes,1/16/1997,Professional Workers,(UC) Universitas Ciputra Surabaya,Design,45,60,76,59,Yes
Male,Yes,5/10/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,34,57,66,50,Yes
Male,Yes,12/5/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,48,60,68,58,Yes
Male,Yes,1/14/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,61,67,78,68,Yes
Male,Yes,8/10/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,57,60,50,56,Yes
Female,Yes,5/18/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,44,60,86,61,Yes
Male,Yes,8/13/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,45,40,80,54,Yes
Male,Yes,7/17/1993,Professional Workers,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,40,73,46,52,Yes
Male,Yes,11/20/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,30,67,74,54,Yes
Male,Yes,6/30/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,40,40,84,53,Yes
Female,Yes,8/8/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,36,70,58,53,Yes
Female,Yes,7/13/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,51,67,46,54,Yes
Male,No,10/30/1999,Active Student or Fresh Graduate,(UKP) Universitas Kristen Petra,Tech / IT / IS,71,80,68,73,Yes
Male,No,10/30/1998,Active Student or Fresh Graduate,Universitas Airlangga,Tech / IT / IS,57,60,92,68,Yes
Male,Yes,9/11/1992,Professional Workers,(UC) Universitas Ciputra Surabaya,Design,32,67,80,57,Yes
Female,No,10/27/1992,Professional Workers,Harvard Graduate School of Education,Domain Expert,55,80,88,72,Yes
Male,No,6/27/2000,Active Student or Fresh Graduate,(Ubaya) Universitas Surabaya,Tech / IT / IS,77,53,70,68,Yes
Male,No,1/14/2000,Active Student or Fresh Graduate,(ITS) Institut Teknologi Sepuluh Nopember,Tech / IT / IS,75,53,84,71,Yes
Female,No,2/21/1998,Active Student or Fresh Graduate,Universitas Brawijaya,Tech / IT / IS,81,67,82,77,Yes
Female,No,6/18/2002,Active Student or Fresh Graduate,Universitas Kristen Petra,Tech / IT / IS,65,33,84,61,Yes
Male,No,6/3/1998,Active Student or Fresh Graduate,Telkom University,Tech / IT / IS,77,67,78,74,Yes
Male,No,6/2/1998,Active Student or Fresh Graduate,(ITB) Institut Teknologi Bandung,Tech / IT / IS,73,67,70,70,Yes
